state,age_of_mother,mothers_single_race,year_of_death,month_code,month,death_rate,after_injunction,abortion_illegal,reliable,date
Pennsylvania,25-29,White,2022,9,September,4.97,1,0,Unreliable,2022-09-01
Texas,25-29,White,2021,4,April,4.98,0,1,Reliable,2021-04-01
Texas,30-34,White,2022,8,August,4.98,1,1,Reliable,2022-08-01
Ohio,30-34,White,2022,8,August,4.99,1,0,Unreliable,2022-08-01
New York,25-29,White,2021,8,August,5,0,0,Unreliable,2021-08-01
New Jersey,30-34,White,2022,8,August,5,1,0,Unreliable,2022-08-01
North Carolina,25-29,White,2021,9,September,5.01,0,0,Unreliable,2021-09-01
Pennsylvania,25-29,White,2021,12,December,5.01,0,0,Unreliable,2021-12-01
California,20-24,White,2021,8,August,5.01,0,0,Reliable,2021-08-01
North Carolina,25-29,White,2021,7,July,5.01,0,0,Unreliable,2021-07-01
California,20-24,White,2021,6,June,5.02,0,0,Reliable,2021-06-01
Pennsylvania,30-34,White,2022,6,June,5.04,1,0,Unreliable,2022-06-01
North Carolina,25-29,White,2021,6,June,5.05,0,0,Unreliable,2021-06-01
Texas,20-24,White,2021,6,June,5.06,0,1,Reliable,2021-06-01
Florida,25-29,White,2021,4,April,5.06,0,0,Unreliable,2021-04-01
Ohio,30-34,White,2022,7,July,5.07,1,0,Unreliable,2022-07-01
Pennsylvania,25-29,White,2021,7,July,5.07,0,0,Unreliable,2021-07-01
Michigan,25-29,White,2021,10,October,5.1,0,0,Unreliable,2021-10-01
Pennsylvania,30-34,White,2022,11,November,5.11,1,0,Unreliable,2022-11-01
New York,25-29,White,2022,8,August,5.11,1,0,Unreliable,2022-08-01
Ohio,25-29,White,2022,5,May,5.19,0,0,Unreliable,2022-05-01
Ohio,25-29,White,2021,9,September,5.19,0,0,Unreliable,2021-09-01
Illinois,25-29,White,2021,10,October,5.2,0,0,Unreliable,2021-10-01
Florida,20-24,White,2022,5,May,5.21,0,0,Unreliable,2022-05-01
Illinois,30-34,White,2021,4,April,5.22,0,0,Unreliable,2021-04-01
Texas,30-34,White,2021,7,July,5.22,0,1,Reliable,2021-07-01
Illinois,25-29,White,2022,11,November,5.24,1,0,Unreliable,2022-11-01
Michigan,30-34,White,2021,12,December,5.25,0,0,Unreliable,2021-12-01
Ohio,25-29,White,2021,6,June,5.25,0,0,Unreliable,2021-06-01
North Carolina,25-29,White,2022,3,March,5.26,0,0,Unreliable,2022-03-01
Ohio,25-29,White,2022,4,April,5.27,0,0,Unreliable,2022-04-01
Texas,30-34,White,2022,11,November,5.28,1,1,Reliable,2022-11-01
Florida,30-34,White,2022,10,October,5.28,1,0,Reliable,2022-10-01
Texas,25-29,White,2021,1,January,5.28,0,1,Reliable,2021-01-01
Michigan,30-34,White,2021,5,May,5.28,0,0,Unreliable,2021-05-01
California,25-29,White,2022,4,April,5.29,0,0,Reliable,2022-04-01
Florida,25-29,White,2021,7,July,5.3,0,0,Unreliable,2021-07-01
Virginia,30-34,White,2021,9,September,5.3,0,0,Unreliable,2021-09-01
Ohio,25-29,White,2021,4,April,5.31,0,0,Unreliable,2021-04-01
Texas,25-29,White,2022,5,May,5.32,0,1,Reliable,2022-05-01
North Carolina,25-29,White,2022,6,June,5.33,1,0,Unreliable,2022-06-01
Illinois,30-34,White,2022,4,April,5.34,0,0,Unreliable,2022-04-01
