"","Notes","State","State.Code","Age.of.Mother.9","Age.of.Mother.9.Code","Mother.s.Single.Race.6","Mother.s.Single.Race.6.Code","Year.of.Death","Year.of.Death.Code","Month","Month.Code","Deaths","Births","Death.Rate"
"80","","California",6,"20-24 years","20-24","White","2106-3",2022,2022,"May",5,14,3822,"3.66 (Unreliable)"
"81","","California",6,"25-29 years","25-29","White","2106-3",2021,2021,"July",7,26,7097,"3.66"
"82","","California",6,"25-29 years","25-29","White","2106-3",2021,2021,"October",10,27,7300,"3.70"
"83","","Florida",12,"25-29 years","25-29","White","2106-3",2021,2021,"October",10,14,3780,"3.70 (Unreliable)"
"84","","Ohio",39,"30-34 years","30-34","White","2106-3",2021,2021,"September",9,10,2692,"3.71 (Unreliable)"
"85","","Texas",48,"25-29 years","25-29","White","2106-3",2021,2021,"November",11,28,7421,"3.77"
"86","","Texas",48,"25-29 years","25-29","White","2106-3",2021,2021,"February",2,24,6335,"3.79"
"87","","New York",36,"30-34 years","30-34","White","2106-3",2022,2022,"May",5,15,3959,"3.79 (Unreliable)"
"88","","Florida",12,"25-29 years","25-29","White","2106-3",2022,2022,"March",3,14,3694,"3.79 (Unreliable)"
"89","","Texas",48,"30-34 years","30-34","White","2106-3",2022,2022,"June",6,26,6832,"3.81"
"90","","California",6,"30-34 years","30-34","White","2106-3",2021,2021,"June",6,31,8134,"3.81"
"91","","California",6,"20-24 years","20-24","White","2106-3",2022,2022,"November",11,15,3931,"3.82 (Unreliable)"
"92","","Pennsylvania",42,"30-34 years","30-34","White","2106-3",2022,2022,"August",8,12,3121,"3.84 (Unreliable)"
"93","","Illinois",17,"30-34 years","30-34","White","2106-3",2021,2021,"August",8,12,3086,"3.89 (Unreliable)"
"94","","New York",36,"30-34 years","30-34","White","2106-3",2022,2022,"June",6,16,4108,"3.89 (Unreliable)"
"95","","California",6,"25-29 years","25-29","White","2106-3",2021,2021,"March",3,27,6930,"3.90"
"96","","Texas",48,"20-24 years","20-24","White","2106-3",2022,2022,"August",8,24,6152,"3.90"
"97","","Texas",48,"25-29 years","25-29","White","2106-3",2021,2021,"June",6,29,7426,"3.91"
"98","","California",6,"25-29 years","25-29","White","2106-3",2022,2022,"December",12,27,6904,"3.91"
"99","","California",6,"30-34 years","30-34","White","2106-3",2022,2022,"March",3,32,8164,"3.92"
"100","","Ohio",39,"30-34 years","30-34","White","2106-3",2021,2021,"April",4,10,2546,"3.93 (Unreliable)"
"101","","Florida",12,"30-34 years","30-34","White","2106-3",2022,2022,"February",2,15,3815,"3.93 (Unreliable)"
"102","","Texas",48,"25-29 years","25-29","White","2106-3",2021,2021,"October",10,30,7619,"3.94"
"103","","Ohio",39,"30-34 years","30-34","White","2106-3",2021,2021,"June",6,11,2786,"3.95 (Unreliable)"
"104","","Pennsylvania",42,"25-29 years","25-29","White","2106-3",2021,2021,"August",8,10,2521,"3.97 (Unreliable)"
"105","","Illinois",17,"30-34 years","30-34","White","2106-3",2022,2022,"May",5,11,2766,"3.98 (Unreliable)"
"106","","Texas",48,"25-29 years","25-29","White","2106-3",2022,2022,"June",6,30,7526,"3.99"
"107","","Texas",48,"30-34 years","30-34","White","2106-3",2022,2022,"September",9,29,7263,"3.99"
"108","","Michigan",26,"30-34 years","30-34","White","2106-3",2021,2021,"June",6,10,2504,"3.99 (Unreliable)"
"109","","California",6,"25-29 years","25-29","White","2106-3",2021,2021,"May",5,27,6756,"4.00"
"110","","New York",36,"25-29 years","25-29","White","2106-3",2021,2021,"June",6,12,2998,"4.00 (Unreliable)"
"111","","Illinois",17,"30-34 years","30-34","White","2106-3",2022,2022,"August",8,12,2986,"4.02 (Unreliable)"
"112","","New York",36,"25-29 years","25-29","White","2106-3",2021,2021,"February",2,10,2484,"4.03 (Unreliable)"
"113","","Florida",12,"30-34 years","30-34","White","2106-3",2021,2021,"October",10,18,4427,"4.07 (Unreliable)"
"114","","Ohio",39,"30-34 years","30-34","White","2106-3",2021,2021,"October",10,11,2683,"4.10 (Unreliable)"
"115","","Illinois",17,"30-34 years","30-34","White","2106-3",2021,2021,"January",1,10,2422,"4.13 (Unreliable)"
"116","","California",6,"25-29 years","25-29","White","2106-3",2022,2022,"May",5,27,6539,"4.13"
"117","","Texas",48,"30-34 years","30-34","White","2106-3",2022,2022,"January",1,27,6508,"4.15"
"118","","Texas",48,"25-29 years","25-29","White","2106-3",2021,2021,"August",8,33,7943,"4.15"
"119","","Texas",48,"20-24 years","20-24","White","2106-3",2021,2021,"April",4,20,4812,"4.16"
"120","","Texas",48,"30-34 years","30-34","White","2106-3",2021,2021,"August",8,30,7187,"4.17"
"121","","Texas",48,"30-34 years","30-34","White","2106-3",2022,2022,"April",4,27,6461,"4.18"
"122","","Texas",48,"30-34 years","30-34","White","2106-3",2021,2021,"April",4,25,5982,"4.18"
"123","","Florida",12,"30-34 years","30-34","White","2106-3",2021,2021,"June",6,17,4061,"4.19 (Unreliable)"
"124","","Texas",48,"25-29 years","25-29","White","2106-3",2022,2022,"November",11,32,7642,"4.19"
"125","","Illinois",17,"25-29 years","25-29","White","2106-3",2021,2021,"June",6,10,2379,"4.20 (Unreliable)"
